n, time (s)
500, 0.00
1000, 0.00
1500, 0.00
2000, 0.00
2500, 0.00
3000, 0.00
3500, 0.00
4000, 0.01
4500, 0.01
5000, 0.01
5500, 0.01
6000, 0.02
6500, 0.02
7000, 0.02
7500, 0.03
8000, 0.03
8500, 0.04
9000, 0.04
9500, 0.05
10000, 0.05
10500, 0.06
11000, 0.07
11500, 0.08
12000, 0.08
12500, 0.09
13000, 0.10
13500, 0.10
14000, 0.11
14500, 0.12
15000, 0.13
15500, 0.14
16000, 0.15
16500, 0.16
17000, 0.16
17500, 0.18
18000, 0.19
18500, 0.20
19000, 0.21
19500, 0.22
20000, 0.23
20500, 0.25
21000, 0.26
21500, 0.27
22000, 0.29
22500, 0.29
23000, 0.31
23500, 0.32
24000, 0.34
24500, 0.35
25000, 0.37
25500, 0.38
26000, 0.39
26500, 0.42
27000, 0.43
27500, 0.46
28000, 0.46
28500, 0.48
29000, 0.50
29500, 0.51
30000, 0.53
30500, 0.55
31000, 0.57
31500, 0.58
32000, 0.61
32500, 0.63
33000, 0.64
33500, 0.66
34000, 0.68
34500, 0.70
35000, 0.72
35500, 0.75
36000, 0.76
36500, 0.80
37000, 0.80
37500, 0.85
38000, 0.85
38500, 0.87
39000, 0.90
39500, 0.92
40000, 0.96
40500, 0.97
41000, 0.99
41500, 1.03
42000, 1.04
42500, 1.07
43000, 1.09
43500, 1.14
44000, 1.14
44500, 1.18
45000, 1.22
45500, 1.24
46000, 1.26
46500, 1.28
47000, 1.33
47500, 1.32
48000, 1.35
48500, 1.38
49000, 1.43
49500, 1.46
50000, 1.47
